Id,Price
4567,160731.85964876343
5925,121508.76258114973
960,141093.47055374086
3848,159135.3367100947
746,195012.07025755025
868,313849.2591807935
672,117835.16649129869
2471,196411.4455190058
4510,132307.80444025923
8354,241527.3878309094
6393,175291.1326275245
13270,230088.45936591597
5250,334786.0350204184
16751,181756.95336522185
11404,129774.84670940456
10588,289350.7725603442
14925,208670.61073880526
6791,191804.4464625357
16097,183802.32416717993
16428,373581.34952788125
6945,334548.69335964945
3190,188133.26618655096
15709,412678.58211936126
13155,176618.27568077212
7675,190764.45298118467
14686,221008.72100106956
609,160399.01117385947
11155,183494.17653408324
10869,170258.47279984612
15742,190132.1369930028
9245,191316.44273496594
3340,178616.85082826062
2359,273058.1107365392
8070,194823.98315237262
13707,128810.9447772907
16079,274478.127779787
15937,285760.79947125685
14090,182286.0909184313
9008,208665.4168444379
16384,185040.460629941
11657,258079.63324744892
13151,192811.76297985407
8990,188209.27261813858
11857,190009.33401011993
1565,168749.9835588154
8174,98532.38525277394
9247,242519.33369528558
10478,210291.4126240778
15509,148826.9917744256
8306,268443.1627691311
6642,187496.22180413836
7472,196985.14754228064
15989,129095.31561396297
13682,145810.93183390016
163,263018.29168300837
7076,180069.05100627823
7478,363022.1429233078
3029,191952.53763848127
1814,150016.30273636014
10057,136821.3469928023
15100,195045.03242615293
12694,224957.64470439928
6291,187043.0518120073
12603,202185.8510637287
3218,225828.18847743302
13456,133223.02591460175
10170,222081.536437789
4530,160103.4647899274
13329,170350.25351427213
4820,149481.52841473973
10896,164075.0006726124
13416,123716.86130983933
2701,223916.3625373754
11265,335450.53611204104
9189,258619.71300835122
1858,187229.45297434917
14536,236003.36249529137
6199,312741.736124314
14730,156612.5601740101
7510,250747.14153616715
15505,171401.26877479962
7446,187639.7192308551
14016,212675.10176623304
14113,129007.23787650409
8721,264771.03596696863
6193,330517.4629616302
5717,191773.84074378322
5427,309669.739148921
9520,469547.66828739963
6869,101091.1926941363
1658,152170.3947246511
6639,192517.8652241966
6283,181066.49326812068
6257,123089.1136317933
15235,184308.15146723718
902,216014.5773983716
8932,204363.84438445105
16469,430089.6420296712
2825,267951.5120837906
6450,404458.6939885484
11366,179385.0797945295
3801,360800.7008829319
11385,193341.2444107334
1079,185404.3190113669
3202,247702.35206152414
676,226193.09044623125
6185,278388.8921897361
7730,168438.933767904
2573,184191.9654033928
10978,204602.9286559269
10962,262720.58366412984
8870,196494.63330858696
8496,180870.53593845977
5517,172111.5730925427
927,181100.86859252394
13675,195811.2582998643
1499,225857.62740941034
15536,312699.51972146763
8602,353825.2577005254
12137,463944.3041532276
9865,259615.08425306584
16353,282506.0920782846
15908,217722.16140084623
3944,182800.28132453412
10359,200155.0667194153
15158,204258.1218577195
3259,253871.02429387468
7220,327987.9532378952
13843,216231.343829192
16736,178669.43425531467
702,237914.6505563606
16401,120577.17568080792
12134,187828.619571577
6918,230707.97522722665
11792,129457.48569244266
3798,147237.9632972596
10395,131177.71345989624
11099,129281.23593081224
7090,205394.71053947048
11260,184976.4509924335
9647,213189.70151625527
2903,385238.846128921
2071,188553.4074242718
8604,203395.40352500053
9346,200708.88269088394
3945,195067.77535989071
3420,144153.19225334396
10842,126552.67776587313
725,169975.10693666717
13931,200385.72849604208
16330,234341.71688049787
9066,381186.08082286513
3326,301153.69289794326
1556,282775.3545900785
6579,105466.49510783525
13877,147761.74637966853
9857,338472.56298444845
7302,257637.09419867906
5684,190068.63968252006
6513,234823.54801871107
11342,109329.17321613527
16561,237514.51091302742
6885,182631.62060786824
9308,179777.85910533302
2559,177637.2775176819
6648,182009.0274532821
15260,167721.57423592385
5113,180504.74164590857
16492,182449.35090661512
12034,274803.8236291167
7248,193435.02758208808
2171,203764.59101286417
10594,156277.01608509343
13241,195185.0945826162
7032,148743.85602759666
4884,172775.4594419907
903,259278.8599475436
162,175417.9821530375
6566,249074.1789973615
8249,132745.7114350809
13106,197257.2878593391
256,123688.95552553178
7976,167302.18082293015
8575,169589.13447258234
7591,266682.8021740542
3204,227530.848023058
15804,185496.62554576862
1525,310214.5371997913
9038,209225.36938266314
13628,180718.6948755312
10016,193121.05188821626
10208,231011.71729321906
2008,196019.9340460188
13029,197986.1722779409
5099,127219.75025928668
9923,286693.75568693585
9461,142608.12795963604
11086,161431.83133813573
15057,282119.5507614384
10689,168367.60773548624
2053,224577.72536639648
16630,171762.961268318
4985,167511.45934361595
13881,265403.00087517867
13225,186899.40765893488
5779,66394.00366709112
10262,184197.21624190672
10762,221892.80334763238
9513,199714.50484440077
11128,159402.91373336944
2074,279893.9244052299
933,189205.047441434
2780,178820.00075564245
6594,110786.39237156438
15394,294240.4753854203
14863,152831.31040935416
6698,203896.34449987038
1611,257600.72319682347
174,185374.52616345542
5160,222748.77679509955
3295,293460.2744963168
4559,371516.6488261128
8254,183512.66784542298
10228,102613.54140238618
13924,133964.54449078275
15341,237981.11175164205
4353,176341.68928249326
4334,68880.99690990671
1872,146887.65932420891
7823,176722.58850629482
310,142099.04233799057
3704,266199.8428830287
11615,260307.82660826464
6605,219473.02854621678
3381,193757.56479666938
2143,138286.7507081548
3191,242688.52105895051
13980,125915.8381069362
15613,165650.86376688394
10943,327481.39587189635
9654,136310.00855435355
16053,354678.1798510197
14931,218369.57368335573
8299,223893.2422974546
2147,169738.86845104487
11567,438828.0793738312
5905,148632.81854673367
11160,115088.68003854691
8275,147313.3755516777
16398,267102.8369742393
11229,183698.2833944465
10309,157396.55356981538
7340,267190.68649543845
7653,181633.9501401135
272,204230.74846880513
9831,211852.2942548336
5016,157222.83070112055
5968,78154.00962175199
796,230853.5742977947
12123,131769.90640470042
16629,180980.9706882601
2637,177134.44512840454
6194,220588.72172400707
6216,325231.98857538356
14346,182482.8313723063
6428,133521.45691098797
2891,227574.25551036905
84,176874.89853602613
9260,203228.10830402837
15250,160989.77359973913
2348,177753.38694865364
10427,273395.27628184267
13230,293084.30465582816
1691,208105.9126156408
8803,131786.57647326295
5464,268454.2124400105
10559,116389.42264619267
16787,313205.0588199101
4278,158322.07299380293
6183,163754.81666695833
12775,166800.8009651266
10104,181833.2992038276
13663,197746.9877444903
9404,273371.07995161123
14724,214842.9050419239
10040,187529.10636736028
4646,191214.9179006901
4754,153765.52283270372
3310,218995.84325853758
2003,187968.16386201643
7312,220797.92981464986
10921,218196.57683365245
13419,272101.54718723585
10105,166137.90305363116
2196,409822.69308813347
12659,226408.91923632132
4380,215444.47271331665
10847,156564.91728080943
10805,274529.44845566404
8709,101554.95659490913
8319,180424.11556942752
2215,181506.40166379057
7000,194017.33926399684
7701,109075.72312321869
9678,178614.23593129887
14026,239509.19911414443
7971,169021.9503615481
13734,149358.14296546625
16483,201276.4351970794
6150,210135.47733782773
2931,271196.0991172381
5418,186429.0615064331
1662,514970.26740045624
2441,214937.41536874333
669,159084.14637068415
7734,185092.8998673892
6010,259113.9134970882
266,139545.7639535651
632,137447.11230567287
16221,110281.31953989186
11832,177520.8574329726
5035,121539.75914857422
37,113866.9212077678
6168,184761.57102903555
11757,185168.84675361167
8086,119326.01277394869
6529,230555.1559716602
15121,194811.3317888088
13904,142479.18619709706
3711,185407.31451880615
16563,141845.2192940375
14494,167234.14077929506
3006,215949.41990633335
15299,101796.77241180176
92,241182.71459601307
8066,220275.28978639568
16071,206858.14915136507
10662,151322.24799706062
3883,246113.5577155341
5511,122838.21810282281
2821,253629.9472216706
9570,181456.72878769776
4326,273988.75208453235
9251,234206.06187354508
9031,207634.91235526087
12689,185283.313386463
16380,238936.88831572572
1053,259017.31269166974
4568,180726.42642326103
16140,113367.65603863398
14356,372129.865770603
8466,181148.2385921108
15652,141906.4723411041
3285,111547.23220083135
3198,164498.92395551488
14088,408692.55323129176
2268,130491.83313345336
15472,219459.03962173476
1203,206311.3091791085
7157,330926.98375604645
6886,189497.21463701996
5083,241614.37632723656
7467,114170.43468652951
14068,206157.22328071506
2080,181700.443546577
10865,157741.46300331663
13516,175694.65145095848
14150,208228.11483354462
7609,121040.31230127366
2144,399156.64931117767
10357,193142.19348010153
2396,234398.23233906674
1526,425343.0971362601
10890,286617.6359110982
8638,418520.7965295626
6050,259095.4140436346
7639,110387.24430364852
10544,198941.16409943573
9577,241665.7592505693
13195,216868.30677681064
3484,216900.7617666311
16668,423738.51980450354
7171,180529.84766298105
8547,219887.09335682352
12735,218490.07165111118
9093,189546.2908460486
15323,223887.32852494615
14897,150752.89218514535
